Pasta-In-A-Box,EuvQIymdxIcHv_fS80rVbg,Telegraph Ave,Italian,37.8672496,-122.2588542,3.5,13
Pat Brown's Grill,wNTMfBrsvVHleI8cxO1TKw,UC Campus Area,American (Traditional),37.87331416,-122.2648957,3,13
Peets Coffee & Tea,u6UTyanpF-VwmlTd3LJK5g,Telegraph Ave,Desserts,37.8670297,-122.2561597,2.5,18
Peet's Coffee & Tea,Ojj7Eb6gxtZ_X5g2oQuoOg,Telegraph Ave,Coffee & Tea,37.8650757,-122.2583114,3,65
Peking Express,1E2MQLWfwpsId185Fs2gWw,Telegraph Ave,Chinese,37.867768,-122.2581978,3.5,10
Pepe's Pizza,qB_Vt4AUbDX6r6qhS6gJ8g,Telegraph Ave,Pizza,37.867768,-122.2581978,2.5,73
Peppermint Grill,FWadSZw0G7HsgKXq7gHTnw,UC Campus Area,American (Traditional),37.8751965,-122.2598181,2.5,16
Pho K & K,fcdjnsgO8Z5LthXUx3y-lA,Telegraph Ave,Vietnamese,37.8644503,-122.2582558,3.5,111
Planet Kebob & Cafe,Ptnj8232ciZyaKAdDIhpdg,Telegraph Ave,Persian/Iranian,37.8678328,-122.2599315,4.5,8
Punjabi By Nature,_jg2zJPu7iNI0Ct0XNN3YQ,Downtown Berkeley,Pakistani,37.8701853,-122.2658691,3,120
Qualcomm Cyber Cafe,tQmWoBTwrT6g_TFvWsWxEA,UC Campus Area,Coffee & Tea,37.87503124,-122.2584558,3,35
Quickly,H7K1YI4ECl8oIY3Zt8qEsg,UC Campus Area,Juice Bars & Smoothies,37.8686878,-122.2522884,2.5,115
Quizno's,UFqSUXGBGhJKnz7V-3sFAQ,Telegraph Ave,Fast Food,37.8688507,-122.2581083,2.5,12
Racha Cafe,93sW9Y_3rJQn305_n8epng,Telegraph Ave,Thai,37.8647594,-122.2584731,3.5,198
Raleigh's,VJW_lfjWxofdtpuVRPY0yQ,Telegraph Ave,Bars,37.8664762,-122.2588111,3.5,330
Ramona's Cafe,8oUiRpdbLzqNKrBTGyBkZw,UC Campus Area,Coffee & Tea,37.87052569,-122.254926,3,15
Remedy Coffee,VTLFFuDysqbeSDyrGjH6KA,Telegraph Ave,Bakeries,37.8681313,-122.2565107,4,14
Remy's Mexican Restaurant,XXKl1x_LNBxWNZJgS8J39g,Telegraph Ave,Mexican,37.866061,-122.2580606,3.5,43
Ryno's,kKZnxsxR4b6zO3rLrbOEPA,Telegraph Ave,Ice Cream & Frozen Yogurt,37.8672741,-122.259033,3.5,102
Saigon Eats,a4IpACmsrzbVTYJcKgzRdA,UC Campus Area,Vietnamese,37.8686684,-122.259748,3.5,30
Sam's Market,AGHq9c6BgxBWwnasdCYPQQ,Telegraph Ave,"Beer, Wine & Spirits",37.868292,-122.259359,4,78
San Francisco Soup Company,elt6nbq4fRcCn7Enk6e7Tw,Telegraph Ave,Soup,37.868755,-122.258869,3.5,112
Satay House,zzFi7Z-pejLJtyg-SiGI5g,Telegraph Ave,Thai,37.868144,-122.2580885,4,6
Saturn Cafe,S4a-MaxMszQjSPSs1JSM2A,Downtown Berkeley,Vegetarian,37.8698214,-122.2659885,3.5,436
Seven Palms Food Center,HLtz3M7Kf6LCQ4uZV_fsbA,UC Campus Area,Grocery,37.8759389,-122.260221,3.5,30
Sfoof's,Po_xhhkHvE3KjjD1pHOlhA,Telegraph Ave,Desserts,37.8688691,-122.2578299,3,50
Shalimar Food and Cafe,5Dy9fuSYcd4E3XGQRZzOTA,Telegraph Ave,Pakistani,37.8678328,-122.2599315,3.5,17
Shanghai Restaurant,liWxota5DH7Roo-iv0pTmw,Telegraph Ave,Chinese,37.868035,-122.258216,4,12
Slurp,pXrqO5rcNJexCGI9evpSmQ,Telegraph Ave,Thai,37.8664181,-122.2588162,3,66
Slurp Noodle House,fMy72cJJu4lPei6mMFpMiQ,Telegraph Ave,Food,37.866376,-122.258781,3,5
Smart Alec's Intelligent Food,Q0j0-u8WHHczEg5c9DPQKg,Telegraph Ave,Burgers,37.8677549,-122.2589892,3.5,553
